Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-0.12,106023.0,522.0
70.0,-0.19,112284.0,522.0
70.0,-0.25,114489.0,522.0
70.0,-0.31,112910.0,522.0
70.0,-0.37,117263.0,522.0
70.0,-0.44,120408.0,522.0
70.0,-0.44,121299.0,522.0
70.0,-0.5,120928.0,522.0
70.0,-0.5,122267.0,522.0
70.0,-0.5,121032.0,522.0
70.0,-0.5,123085.0,522.0
70.0,-0.5,121876.0,522.0
70.0,-0.5,123641.0,522.0
70.0,-0.5,126352.0,522.0
70.0,-0.5,124633.0,522.0
70.0,-0.5,123198.0,522.0
70.0,-0.5,123119.0,522.0
70.0,-0.5,123820.0,522.0
70.0,-0.5,128863.0,522.0
70.0,-0.5,129374.0,522.0
70.0,-0.5,130417.0,522.0
70.0,-0.5,132222.0,522.0
70.0,-0.5,132149.0,522.0
70.0,-0.5,130522.0,522.0
70.0,-0.5,128751.0,522.0
70.0,-0.5,128832.0,522.0
70.0,-0.5,129223.0,522.0
70.0,-0.5,131586.0,523.0
70.0,-0.5,131961.0,522.0
70.0,-0.5,131510.0,522.0
70.0,-0.5,130659.0,522.0
70.0,-0.5,134702.0,522.0
70.0,-0.5,134207.0,522.0
70.0,-0.5,134944.0,522.0
70.0,-0.5,135465.0,522.0
70.0,-0.5,132426.0,522.0
70.0,-0.5,133929.0,522.0
70.0,-0.5,132708.0,522.0
70.0,-0.5,133053.0,522.0
70.0,-0.5,138306.0,522.0
70.0,-0.5,141573.0,522.0
70.0,-0.5,138072.0,522.0
70.0,-0.5,137533.0,522.0
60.0,-14.25,-217768.0,479.0
60.0,-14.25,-220947.0,479.0
60.0,-14.25,-220654.0,478.0
60.0,-14.25,-220407.0,479.0
60.0,-14.25,-221780.0,478.0
60.0,-14.25,-216451.0,479.0
60.0,-14.25,-217090.0,479.0
60.0,-14.25,-214405.0,479.0
60.0,-14.25,-214860.0,479.0
60.0,-14.25,-220121.0,479.0
60.0,-14.25,-218334.0,479.0
60.0,-14.25,-217035.0,479.0
60.0,-14.25,-214940.0,479.0
60.0,-14.25,-213537.0,478.0
60.0,-14.25,-206948.0,479.0
60.0,-14.25,-213439.0,479.0
60.0,-14.25,-214054.0,479.0
60.0,-14.25,-211313.0,479.0
60.0,-14.25,-210274.0,479.0
60.0,-14.25,-210989.0,478.0
60.0,-14.25,-209178.0,478.0
60.0,-14.25,-209419.0,479.0
60.0,-14.25,-209954.0,478.0
60.0,-14.25,-210319.0,479.0
60.0,-14.25,-207438.0,479.0
60.0,-14.25,-207397.0,478.0
60.0,-14.25,-207360.0,478.0
60.0,-14.25,-207771.0,479.0
60.0,-14.25,-206380.0,479.0
60.0,-14.25,-204513.0,479.0
60.0,-14.25,-208772.0,478.0
60.0,-14.25,-206925.0,479.0
60.0,-14.25,-206160.0,479.0
60.0,-14.25,-209311.0,479.0
60.0,-14.25,-214960.0,479.0
60.0,-14.25,-212763.0,478.0
60.0,-14.25,-213100.0,479.0
60.0,-14.25,-207989.0,479.0
60.0,-14.25,-208360.0,479.0
60.0,-14.25,-212143.0,478.0
60.0,-14.25,-212606.0,479.0
60.0,-14.25,-210721.0,479.0
60.0,-14.25,-209330.0,479.0
60.0,-14.25,-204633.0,479.0
60.0,-14.25,-202366.0,478.0
60.0,-14.25,-203973.0,479.0
60.0,-14.25,-201208.0,479.0
60.0,-14.25,-201293.0,478.0
60.0,-14.25,-203600.0,479.0
60.0,-14.25,-205411.0,478.0
50.0,-28.37,-711056.0,435.0
50.0,-28.37,-710745.0,434.0
50.0,-28.37,-717876.0,434.0
50.0,-28.37,-716311.0,434.0
50.0,-28.37,-713896.0,435.0
50.0,-28.37,-712871.0,435.0
50.0,-28.37,-713162.0,434.0
50.0,-28.37,-716629.0,435.0
50.0,-28.37,-717744.0,434.0
50.0,-28.37,-719657.0,434.0
50.0,-28.37,-717232.0,435.0
50.0,-28.37,-717503.0,434.0
50.0,-28.37,-716652.0,435.0
50.0,-28.37,-714869.0,435.0
50.0,-28.37,-712892.0,435.0
50.0,-28.37,-725519.0,434.0
50.0,-28.37,-725146.0,435.0
50.0,-28.37,-717291.0,435.0
50.0,-28.37,-717296.0,435.0
50.0,-28.37,-720741.0,435.0
50.0,-28.37,-719042.0,434.0
50.0,-28.37,-714257.0,435.0
50.0,-28.37,-713746.0,434.0
50.0,-28.37,-709287.0,435.0
50.0,-28.37,-713856.0,435.0
50.0,-28.37,-718045.0,435.0
50.0,-28.37,-718378.0,435.0
50.0,-28.37,-716549.0,435.0
50.0,-28.37,-714748.0,434.0
50.0,-28.37,-715303.0,434.0
50.0,-28.37,-714628.0,434.0
50.0,-28.37,-715951.0,435.0
50.0,-28.37,-717882.0,434.0
50.0,-28.37,-714471.0,434.0
50.0,-28.37,-715002.0,434.0
50.0,-28.37,-717049.0,435.0
50.0,-28.37,-714422.0,435.0
50.0,-28.37,-712029.0,435.0
50.0,-28.37,-708978.0,434.0
50.0,-28.37,-710087.0,434.0
50.0,-28.37,-710898.0,434.0
50.0,-28.37,-712871.0,434.0
50.0,-28.37,-714808.0,434.0
50.0,-28.37,-716765.0,434.0
50.0,-28.31,-717086.0,435.0
50.0,-28.31,-718873.0,434.0
50.0,-28.31,-719344.0,434.0
50.0,-28.31,-720177.0,435.0
50.0,-28.31,-722260.0,434.0
50.0,-28.31,-723055.0,434.0
40.0,-43.5,-1298668.0,385.0
40.0,-43.5,-1307587.0,385.0
40.0,-43.5,-1306278.0,385.0
40.0,-43.5,-1308881.0,386.0
40.0,-43.5,-1309012.0,386.0
40.0,-43.5,-1313413.0,385.0
40.0,-43.5,-1321144.0,385.0
40.0,-43.5,-1324113.0,385.0
40.0,-43.5,-1330444.0,385.0
40.0,-43.5,-1333833.0,385.0
40.0,-43.5,-1338610.0,386.0
40.0,-43.5,-1335673.0,385.0
40.0,-43.5,-1331730.0,385.0
40.0,-43.5,-1331877.0,385.0
40.0,-43.5,-1332832.0,385.0
40.0,-43.5,-1332697.0,385.0
40.0,-43.5,-1329392.0,386.0
40.0,-43.5,-1326115.0,386.0
40.0,-43.5,-1326438.0,386.0
40.0,-43.5,-1324573.0,386.0
40.0,-43.5,-1321984.0,385.0
40.0,-43.5,-1321837.0,386.0
40.0,-43.5,-1321194.0,385.0
40.0,-43.5,-1320467.0,385.0
40.0,-43.5,-1319762.0,386.0
40.0,-43.5,-1317073.0,385.0
40.0,-43.5,-1317046.0,385.0
40.0,-43.5,-1319785.0,385.0
40.0,-43.5,-1320092.0,385.0
