Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
70.0,-1.75,-108175.0,522.0
70.0,-1.75,-106570.0,522.0
70.0,-1.75,-106919.0,522.0
100.0,100.0,100.0,100.0
70.0,-0.44,-66675.0,522.0
70.0,-0.5,-64518.0,522.0
70.0,-0.56,-64921.0,522.0
70.0,-0.56,-63008.0,522.0
70.0,-0.63,-61605.0,522.0
70.0,-0.63,-59526.0,522.0
70.0,-0.63,-59183.0,522.0
70.0,-0.63,-57396.0,522.0
70.0,-0.63,-57971.0,522.0
70.0,-0.63,-58674.0,522.0
70.0,-0.63,-58397.0,522.0
70.0,-0.63,-57482.0,522.0
70.0,-0.63,-57399.0,522.0
70.0,-0.63,-58194.0,522.0
70.0,-0.63,-55921.0,521.0
70.0,-0.63,-57028.0,522.0
70.0,-0.63,-56643.0,522.0
70.0,-0.63,-55922.0,522.0
70.0,-0.63,-55165.0,522.0
70.0,-0.63,-55022.0,522.0
70.0,-0.63,-54843.0,521.0
70.0,-0.63,-54372.0,522.0
70.0,-0.63,-53755.0,522.0
70.0,-0.63,-53756.0,522.0
70.0,-0.63,-53399.0,522.0
70.0,-0.63,-53276.0,522.0
70.0,-0.63,-52793.0,522.0
70.0,-0.63,-52204.0,522.0
70.0,-0.63,-50485.0,522.0
70.0,-0.63,-50260.0,522.0
70.0,-0.63,-49927.0,522.0
70.0,-0.63,-48856.0,522.0
70.0,-0.63,-49095.0,522.0
70.0,-0.63,-49306.0,522.0
70.0,-0.63,-48639.0,522.0
70.0,-0.63,-46688.0,522.0
70.0,-0.63,-46401.0,523.0
70.0,-0.63,-45080.0,522.0
60.0,-14.5,-123399.0,479.0
60.0,-14.5,-123112.0,478.0
60.0,-14.5,-122191.0,478.0
60.0,-14.5,-118540.0,478.0
60.0,-14.5,-119193.0,478.0
60.0,-14.5,-119278.0,478.0
60.0,-14.5,-119561.0,478.0
60.0,-14.5,-119640.0,478.0
60.0,-14.5,-119671.0,478.0
60.0,-14.5,-119916.0,478.0
60.0,-14.5,-121095.0,478.0
60.0,-14.5,-121046.0,478.0
60.0,-14.5,-120497.0,478.0
60.0,-14.5,-119952.0,478.0
60.0,-14.5,-118945.0,479.0
60.0,-14.5,-119160.0,478.0
60.0,-14.5,-119219.0,478.0
60.0,-14.5,-119336.0,478.0
60.0,-14.5,-118645.0,479.0
60.0,-14.5,-118268.0,478.0
60.0,-14.5,-117495.0,479.0
60.0,-14.5,-116918.0,478.0
60.0,-14.5,-116993.0,479.0
60.0,-14.5,-117286.0,478.0
60.0,-14.5,-117155.0,478.0
60.0,-14.5,-117324.0,479.0
60.0,-14.5,-117399.0,478.0
60.0,-14.5,-117226.0,478.0
60.0,-14.5,-117097.0,478.0
60.0,-14.5,-118356.0,478.0
60.0,-14.5,-119621.0,478.0
60.0,-14.5,-117902.0,478.0
60.0,-14.5,-117611.0,478.0
60.0,-14.5,-119326.0,478.0
60.0,-14.5,-118835.0,479.0
60.0,-14.5,-118814.0,478.0
60.0,-14.5,-117541.0,479.0
60.0,-14.5,-117158.0,478.0
60.0,-14.5,-116785.0,478.0
60.0,-14.5,-116752.0,479.0
60.0,-14.5,-118189.0,478.0
60.0,-14.5,-118406.0,478.0
60.0,-14.5,-118881.0,479.0
60.0,-14.5,-118448.0,478.0
60.0,-14.5,-118363.0,478.0
60.0,-14.5,-118852.0,478.0
60.0,-14.5,-118329.0,478.0
60.0,-14.5,-118538.0,479.0
60.0,-14.5,-118901.0,477.0
60.0,-14.5,-119244.0,478.0
50.0,-28.5,-229001.0,434.0
50.0,-28.5,-228928.0,434.0
50.0,-28.5,-229025.0,434.0
50.0,-28.5,-228104.0,434.0
50.0,-28.5,-228835.0,434.0
50.0,-28.5,-226986.0,434.0
50.0,-28.5,-225805.0,434.0
50.0,-28.5,-225444.0,434.0
50.0,-28.5,-226167.0,434.0
50.0,-28.5,-226506.0,434.0
50.0,-28.5,-226427.0,434.0
50.0,-28.5,-225556.0,434.0
50.0,-28.5,-225395.0,433.0
50.0,-28.5,-225424.0,434.0
50.0,-28.5,-224353.0,434.0
50.0,-28.5,-224106.0,434.0
50.0,-28.5,-223907.0,434.0
50.0,-28.5,-223986.0,433.0
50.0,-28.5,-224225.0,434.0
50.0,-28.5,-224284.0,434.0
50.0,-28.5,-224165.0,434.0
50.0,-28.5,-224376.0,433.0
50.0,-28.5,-223737.0,433.0
50.0,-28.5,-224846.0,434.0
50.0,-28.5,-225551.0,434.0
50.0,-28.5,-225074.0,434.0
50.0,-28.5,-224589.0,434.0
50.0,-28.5,-224868.0,434.0
50.0,-28.5,-224419.0,434.0
50.0,-28.5,-225452.0,433.0
50.0,-28.5,-226339.0,434.0
50.0,-28.5,-226462.0,434.0
50.0,-28.5,-226395.0,434.0
50.0,-28.5,-226428.0,434.0
50.0,-28.5,-226251.0,434.0
50.0,-28.5,-225980.0,434.0
50.0,-28.5,-225975.0,433.0
50.0,-28.5,-225904.0,434.0
50.0,-28.5,-226491.0,433.0
50.0,-28.5,-226716.0,434.0
50.0,-28.5,-225839.0,434.0
50.0,-28.5,-225206.0,433.0
50.0,-28.5,-223405.0,434.0
50.0,-28.5,-223616.0,434.0
50.0,-28.5,-224873.0,434.0
50.0,-28.5,-225364.0,434.0
50.0,-28.5,-227323.0,434.0
50.0,-28.5,-227650.0,434.0
50.0,-28.5,-227039.0,434.0
50.0,-28.5,-227420.0,434.0
40.0,-42.63,-369077.0,386.0
40.0,-42.63,-369020.0,385.0
40.0,-42.63,-368811.0,386.0
40.0,-42.63,-369108.0,386.0
40.0,-42.63,-370043.0,386.0
40.0,-42.63,-370506.0,385.0
40.0,-42.63,-369961.0,386.0
40.0,-42.63,-370954.0,386.0
40.0,-42.63,-370953.0,386.0
40.0,-42.63,-370776.0,385.0
40.0,-42.63,-370729.0,386.0
40.0,-42.63,-369816.0,386.0
40.0,-42.63,-369843.0,386.0
40.0,-42.63,-371086.0,385.0
40.0,-42.63,-371611.0,386.0
40.0,-42.63,-370956.0,386.0
40.0,-42.63,-370595.0,386.0
40.0,-42.63,-368970.0,386.0
40.0,-42.63,-368933.0,386.0
40.0,-42.63,-369960.0,386.0
40.0,-42.63,-370193.0,386.0
40.0,-42.63,-370178.0,386.0
40.0,-42.63,-370063.0,386.0
40.0,-42.63,-369722.0,385.0
40.0,-42.63,-371159.0,385.0
40.0,-42.63,-370790.0,385.0
