Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
0.0,28.87,0.0,622.0
0.0,28.87,-1.0,622.0
0.0,28.87,0.0,622.0
0.0,28.87,-1.0,622.0
0.0,28.87,0.0,622.0
0.0,28.87,1.0,622.0
0.0,28.87,0.0,622.0
0.0,28.87,-1.0,622.0
0.0,28.87,622.0,
0.0,28.87,0.0,622.0
0.0,28.87,-1.0,622.0
0.0,28.87,0.0,622.0
0.0,28.87,-1.0,622.0
0.0,28.87,0.0,622.0
0.0,28.87,1.0,622.0
0.0,28.87,0.0,622.0
0.0,28.87,-1.0,622.0
0.0,28.87,100.0,
100.0,100.0,100.0,100.0
70.0,30.62,1.0,563.0
70.0,7.81,-2.0,522.0
70.0,-0.25,1.0,522.0
70.0,-0.31,-2.0,522.0
70.0,-0.31,-1.0,522.0
70.0,-0.37,-2.0,522.0
70.0,-0.44,-1.0,522.0
70.0,-0.44,0.0,522.0
70.0,-0.5,1.0,522.0
70.0,-0.56,-2.0,522.0
70.0,-0.56,1.0,523.0
70.0,-0.56,-2.0,522.0
70.0,-0.56,-1.0,522.0
70.0,-0.56,-2.0,522.0
70.0,-0.56,1.0,522.0
70.0,-0.56,-2.0,522.0
70.0,-0.56,1.0,522.0
70.0,-0.56,-2.0,522.0
70.0,-0.56,1.0,522.0
70.0,-0.56,0.0,522.0
70.0,-0.56,-1.0,522.0
70.0,-0.56,-2.0,522.0
70.0,-0.56,1.0,522.0
70.0,-0.56,-2.0,522.0
70.0,-0.56,1.0,522.0
60.0,-0.88,0.0,485.0
60.0,-13.5,-9991.0,478.0
60.0,-14.5,-101368.0,478.0
60.0,-14.5,-225979.0,478.0
60.0,-14.5,-218082.0,478.0
60.0,-14.5,-221625.0,479.0
60.0,-14.5,-215834.0,478.0
60.0,-14.5,-215059.0,478.0
60.0,-14.5,-210074.0,479.0
60.0,-14.5,-209363.0,478.0
60.0,-14.5,-205392.0,479.0
60.0,-14.5,-203491.0,479.0
60.0,-14.5,-196866.0,479.0
60.0,-14.5,-191599.0,478.0
60.0,-14.5,-190648.0,478.0
60.0,-14.5,-188947.0,478.0
60.0,-14.5,-180418.0,478.0
60.0,-14.5,-181335.0,479.0
60.0,-14.5,-182368.0,479.0
60.0,-14.5,-180257.0,479.0
60.0,-14.5,-176736.0,478.0
60.0,-14.5,-176685.0,478.0
60.0,-14.5,-174366.0,478.0
60.0,-14.5,-173757.0,478.0
60.0,-14.5,-170934.0,478.0
60.0,-14.5,-167983.0,479.0
60.0,-14.5,-171412.0,479.0
60.0,-14.5,-166879.0,478.0
60.0,-14.5,-166880.0,479.0
60.0,-14.5,-169251.0,478.0
60.0,-14.5,-169572.0,478.0
60.0,-14.5,-162093.0,479.0
60.0,-14.5,-159166.0,479.0
60.0,-14.5,-159501.0,478.0
60.0,-14.5,-162552.0,478.0
60.0,-14.5,-165675.0,478.0
60.0,-14.5,-171288.0,478.0
60.0,-14.5,-168419.0,478.0
60.0,-14.5,-164722.0,478.0
60.0,-14.5,-164973.0,479.0
60.0,-14.5,-167878.0,478.0
60.0,-14.5,-171023.0,479.0
60.0,-14.5,-174744.0,479.0
60.0,-14.5,-174121.0,479.0
60.0,-14.5,-167648.0,478.0
60.0,-14.5,-167891.0,478.0
60.0,-14.5,-172102.0,479.0
60.0,-14.5,-169543.0,479.0
60.0,-14.5,-169220.0,479.0
