Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,520.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,520.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,520.0
70.0,-1.81,24.0,521.0
70.0,-1.81,24.0,521.0
100.0,100.0,100.0,100.0
70.0,28.37,21.0,580.0
70.0,12.94,23.0,532.0
70.0,-0.63,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
70.0,-2.0,24.0,522.0
60.0,-2.0,26.0,499.0
60.0,-12.06,28.0,480.0
60.0,-15.88,28.0,478.0
60.0,-15.94,28.0,479.0
60.0,-15.88,28.0,478.0
60.0,-15.81,28.0,478.0
60.0,-15.75,28.0,478.0
60.0,-15.75,28.0,479.0
60.0,-15.69,28.0,479.0
60.0,-15.69,28.0,478.0
60.0,-15.63,28.0,478.0
60.0,-15.63,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,478.0
60.0,-15.56,28.0,479.0
50.0,-15.56,29.0,458.0
50.0,-24.12,32.0,436.0
50.0,-29.56,32.0,434.0
50.0,-29.69,32.0,434.0
50.0,-29.62,32.0,434.0
50.0,-29.56,32.0,434.0
50.0,-29.5,32.0,434.0
50.0,-29.44,32.0,434.0
50.0,-29.37,32.0,434.0
50.0,-29.37,32.0,434.0
50.0,-29.31,32.0,434.0
50.0,-29.31,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,433.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,33.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,433.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,433.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
50.0,-29.25,32.0,434.0
