Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,27.81,21.0,577.0
70.0,10.44,21.0,530.0
70.0,-0.81,22.0,522.0
70.0,-2.13,22.0,522.0
70.0,-2.06,22.0,522.0
70.0,-2.06,21.0,522.0
70.0,-2.06,21.0,522.0
70.0,-2.0,21.0,521.0
70.0,-2.0,21.0,522.0
70.0,-2.0,21.0,522.0
70.0,-2.0,21.0,522.0
70.0,-2.0,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,521.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,521.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,521.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,521.0
70.0,-1.94,21.0,521.0
70.0,-1.94,21.0,521.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,522.0
70.0,-1.94,21.0,521.0
60.0,-2.25,23.0,497.0
60.0,-12.0,24.0,480.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,479.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,479.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,479.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,479.0
60.0,-15.44,24.0,479.0
60.0,-15.44,24.0,478.0
60.0,-15.44,24.0,478.0
